DATE,YR,PD,WK,HOL_DAY_NBR,HOL_FLG,HOL_DESCP,HOL_DATE
12/30/2018,2019,1,1,3,1,New Year's Day                ,1/1/2019
1/6/2019,2019,1,2,0,0,non_hol,0
1/13/2019,2019,1,3,0,0,non_hol,0
1/20/2019,2019,1,4,2,1,MLK Day                       ,1/21/2019
1/27/2019,2019,2,1,0,1,Super Bowl WB,2/3/2019
2/3/2019,2019,2,2,1,1,Super Bowl,2/3/2019
2/10/2019,2019,2,3,0,0,non_hol,0
2/17/2019,2019,2,4,2,1,President's Day               ,2/18/2019
2/24/2019,2019,3,1,0,0,non_hol,0
3/3/2019,2019,3,2,0,0,non_hol,0
3/10/2019,2019,3,3,0,0,non_hol,0
3/17/2019,2019,3,4,0,0,non_hol,0
3/24/2019,2019,4,1,0,0,non_hol,0
3/31/2019,2019,4,2,0,0,non_hol,0
4/7/2019,2019,4,3,0,0,non_hol,0
4/14/2019,2019,4,4,6,1,Good Friday                   ,4/19/2019
4/14/2019,2019,4,4,0,1,Easter                         WB,4/21/2019
4/21/2019,2019,5,1,1,1,Easter                        ,4/21/2019
4/28/2019,2019,5,2,0,0,non_hol,0
5/5/2019,2019,5,3,0,0,non_hol,0
5/12/2019,2019,5,4,0,0,non_hol,0
5/19/2019,2019,6,1,0,0,non_hol,0
5/26/2019,2019,6,2,2,1,Memorial Day                  ,5/27/2019
6/2/2019,2019,6,3,0,0,non_hol,0
6/9/2019,2019,6,4,0,0,non_hol,0
6/16/2019,2019,7,1,0,0,non_hol,0
6/23/2019,2019,7,2,0,0,non_hol,0
6/30/2019,2019,7,3,5,1,Independence Day              ,7/4/2019
7/7/2019,2019,7,4,0,0,non_hol,0
7/14/2019,2019,8,1,0,0,non_hol,0
7/21/2019,2019,8,2,0,0,non_hol,0
7/28/2019,2019,8,3,0,0,non_hol,0
8/4/2019,2019,8,4,0,0,non_hol,0
8/11/2019,2019,9,1,0,0,non_hol,0
8/18/2019,2019,9,2,0,0,non_hol,0
8/25/2019,2019,9,3,0,0,non_hol,0
9/1/2019,2019,9,4,2,1,Labor Day                     ,9/2/2019
9/8/2019,2019,10,1,0,0,non_hol,0
9/15/2019,2019,10,2,0,0,non_hol,0
9/22/2019,2019,10,3,0,0,non_hol,0
9/29/2019,2019,10,4,0,0,non_hol,0
10/6/2019,2019,11,1,0,0,non_hol,0
10/13/2019,2019,11,2,0,0,non_hol,0
10/20/2019,2019,11,3,0,0,non_hol,0
10/27/2019,2019,11,4,0,0,non_hol,0
11/3/2019,2019,12,1,0,0,non_hol,0
11/10/2019,2019,12,2,0,0,non_hol,0
11/17/2019,2019,12,3,0,0,non_hol,0
11/24/2019,2019,12,4,5,1,Thanksgiving                  ,11/28/2019
12/1/2019,2019,13,1,0,0,non_hol,0
12/8/2019,2019,13,2,0,0,non_hol,0
12/15/2019,2019,13,3,0,0,non_hol,0
12/22/2019,2019,13,4,4,1,Christmas Day                 ,12/25/2019
12/29/2019,2020,1,1,4,1,New Year's Day                ,1/1/2020
1/5/2020,2020,1,2,0,0,non_hol,0
1/12/2020,2020,1,3,0,0,non_hol,0
1/19/2020,2020,1,4,2,1,MLK Day                       ,1/20/2020
1/26/2020,2020,2,1,0,1,Super Bowl WB,2/2/2020
2/2/2020,2020,2,2,1,1,Super Bowl,2/2/2020
2/9/2020,2020,2,3,0,0,non_hol,0
2/16/2020,2020,2,4,2,1,President's Day               ,2/17/2020
2/23/2020,2020,3,1,0,0,non_hol,0
3/1/2020,2020,3,2,0,0,non_hol,0
3/8/2020,2020,3,3,0,0,non_hol,0
3/13/2020,2020,3,4,0,1,State of Emergency for COVID-19,3/13/2020
3/22/2020,2020,4,1,0,0,non_hol,0
3/29/2020,2020,4,2,0,0,non_hol,0
4/5/2020,2020,4,3,0,1,Easter                         WB,4/12/2020
4/5/2020,2020,4,3,6,1,Good Friday                   ,4/10/2020
4/12/2020,2020,4,4,1,1,Easter                        ,4/12/2020
4/19/2020,2020,5,1,0,0,non_hol,0
4/26/2020,2020,5,2,0,0,non_hol,0
5/3/2020,2020,5,3,0,0,non_hol,0
5/10/2020,2020,5,4,0,0,non_hol,0
5/17/2020,2020,6,1,0,0,non_hol,0
5/24/2020,2020,6,2,2,1,Memorial Day                  ,5/25/2020
5/31/2020,2020,6,3,0,0,non_hol,0
6/7/2020,2020,6,4,0,0,non_hol,0
6/14/2020,2020,7,1,0,0,non_hol,0
6/21/2020,2020,7,2,0,0,non_hol,0
6/28/2020,2020,7,3,6,1,Independence Day              ,7/3/2020
7/5/2020,2020,7,4,0,0,non_hol,0
7/12/2020,2020,8,1,0,0,non_hol,0
7/19/2020,2020,8,2,0,0,non_hol,0
7/26/2020,2020,8,3,0,0,non_hol,0
8/2/2020,2020,8,4,0,0,non_hol,0
8/9/2020,2020,9,1,0,0,non_hol,0
8/16/2020,2020,9,2,0,0,non_hol,0
8/23/2020,2020,9,3,0,0,non_hol,0
8/30/2020,2020,9,4,0,0,non_hol,0
9/6/2020,2020,10,1,2,1,Labor Day                     ,9/7/2020
9/13/2020,2020,10,2,0,0,non_hol,0
9/20/2020,2020,10,3,0,0,non_hol,0
9/27/2020,2020,10,4,0,0,non_hol,0
10/4/2020,2020,11,1,0,0,non_hol,0
10/11/2020,2020,11,2,0,0,non_hol,0
10/18/2020,2020,11,3,0,0,non_hol,0
10/25/2020,2020,11,4,0,0,non_hol,0
11/1/2020,2020,12,1,0,0,non_hol,0
11/8/2020,2020,12,2,0,0,non_hol,0
11/15/2020,2020,12,3,0,0,non_hol,0
11/22/2020,2020,12,4,5,1,Thanksgiving                  ,11/26/2020
11/29/2020,2020,13,1,0,0,non_hol,0
12/6/2020,2020,13,2,0,0,non_hol,0
12/13/2020,2020,13,3,0,0,non_hol,0
12/20/2020,2020,13,4,6,1,Christmas Day                 ,12/25/2020
